F,G,P
2.45470000000e00,1.00139669914e00,7.34663672119e-06
2.48890000000e00,1.00140174034e00,2.41365109105e-04
2.52350000000e00,1.00139311926e00,-1.63698539836e-04
2.55860000000e00,1.00140303522e00,-5.44010208614e-06
2.59420000000e00,1.00139343331e00,-1.85670753126e-04
2.63030000000e00,1.00139804679e00,3.33112984663e-04
2.66690000000e00,1.00140435831e00,-1.66243713466e-04
2.70400000000e00,1.00140042828e00,-1.86811903404e-05
2.74160000000e00,1.00140074628e00,-1.27773513668e-04
2.77970000000e00,1.00139446699e00,5.07347867824e-05
2.81840000000e00,1.00140368716e00,1.23980891658e-04
2.85760000000e00,1.00140237741e00,-2.66292947344e-04
2.89730000000e00,1.00139469690e00,-2.16373518924e-04
2.93760000000e00,1.00140849520e00,-1.20664196857e-06
2.97850000000e00,1.00139939628e00,-2.03651143238e-04
3.02000000000e00,1.00139696053e00,-3.17140249535e-04
3.06200000000e00,1.00140350808e00,-4.32894739788e-04
3.10460000000e00,1.00140258711e00,-4.02658159146e-04
3.14770000000e00,1.00140545319e00,1.55641755555e-05
3.19150000000e00,1.00140986218e00,-4.20009222580e-04
3.23590000000e00,1.00141237681e00,-1.32061803015e-04
3.28100000000e00,1.00140826282e00,-3.36100725690e-04
3.32660000000e00,1.00141611318e00,-2.65179784037e-04
3.37290000000e00,1.00139783958e00,-3.24421096593e-04
3.41980000000e00,1.00140418845e00,1.36651106004e-05
3.46740000000e00,1.00140389250e00,-3.01344349282e-04
3.51560000000e00,1.00141201766e00,-4.41857671831e-04
3.56450000000e00,1.00140113282e00,9.92643617792e-05
3.61410000000e00,1.00140299613e00,-5.55197242647e-04
3.66440000000e00,1.00141234889e00,-2.85576592432e-04
3.71540000000e00,1.00141519583e00,-9.10897142603e-05
3.76700000000e00,1.00141416524e00,-1.58274051500e-04
3.81940000000e00,1.00140965191e00,-8.11604477349e-05
3.87260000000e00,1.00141138722e00,-3.02652100800e-04
3.92640000000e00,1.00141031944e00,-4.36818605522e-04
3.98110000000e00,1.00140233528e00,-1.61930511240e-04
4.03650000000e00,1.00141818613e00,-1.52597422129e-04
4.09260000000e00,1.00141244448e00,-2.25927986321e-04
4.14950000000e00,1.00140852066e00,-4.03907470172e-04
4.20730000000e00,1.00140728644e00,-2.28450066061e-04
4.26580000000e00,1.00139783683e00,-4.46321326308e-04
4.32510000000e00,1.00140753400e00,-4.29491454270e-04
4.38530000000e00,1.00140852919e00,-6.25765940640e-04
4.44630000000e00,1.00140316485e00,-5.00339898281e-04
4.50820000000e00,1.00140344157e00,-4.36055997852e-04
4.57090000000e00,1.00139949948e00,-2.82034830889e-04
4.63450000000e00,1.00140415999e00,-4.50528954389e-04
4.69890000000e00,1.00141438994e00,-4.16254653828e-04
4.76430000000e00,1.00141727698e00,-5.25532697793e-04
4.83060000000e00,1.00140973466e00,-2.86913214950e-04
4.89780000000e00,1.00140360021e00,-6.89992681146e-04
4.96590000000e00,1.00141155738e00,-1.01739994716e-03
5.03500000000e00,1.00141928528e00,-3.63417435437e-04
5.10500000000e00,1.00140272979e00,-7.41592026316e-04
5.17610000000e00,1.00140826034e00,-3.57967277523e-04
5.24810000000e00,1.00140663343e00,-8.36977560539e-04
5.32110000000e00,1.00140845824e00,-9.48688364588e-04
5.39510000000e00,1.00140557522e00,-9.14130301680e-04
5.47020000000e00,1.00139404034e00,-1.18410051800e-03
5.54630000000e00,1.00140734680e00,-8.39403364807e-04
5.62340000000e00,1.00140719866e00,-2.78879044345e-04
5.70160000000e00,1.00141636811e00,-5.55394566618e-04
5.78100000000e00,1.00140873312e00,-7.47166748624e-04
5.86140000000e00,1.00141845988e00,-1.12683512270e-03
5.94290000000e00,1.00140662007e00,-8.50801414344e-04
6.02560000000e00,1.00140573901e00,-1.21584138833e-03
6.10940000000e00,1.00140690090e00,-8.53673496749e-04
6.19440000000e00,1.00140651736e00,-1.25613447744e-03
6.28060000000e00,1.00141730286e00,-1.19404285215e-03
6.36800000000e00,1.00141192813e00,-1.69921631459e-03
6.45650000000e00,1.00142645735e00,-1.06548599433e-03
6.54640000000e00,1.00141810670e00,-1.34561932646e-03
6.63740000000e00,1.00141591737e00,-1.06362299994e-03
6.72980000000e00,1.00141422922e00,-1.35603547096e-03
6.82340000000e00,1.00140839382e00,-1.79161468986e-03
6.91830000000e00,1.00141219337e00,-9.44965693634e-04
7.01460000000e00,1.00142110433e00,-1.50029908400e-03
7.11210000000e00,1.00142485210e00,-1.42757105641e-03
7.21110000000e00,1.00142455935e00,-1.78082077764e-03
7.31140000000e00,1.00142727835e00,-1.18927378207e-03
7.41310000000e00,1.00142530101e00,-1.20551045984e-03
7.51620000000e00,1.00142132740e00,-1.99781311676e-03
7.62080000000e00,1.00140422096e00,-2.19188234769e-03
7.72680000000e00,1.00141992977e00,-1.90031551756e-03
7.83430000000e00,1.00141728840e00,-1.85869878624e-03
7.94330000000e00,1.00141689030e00,-2.56221485324e-03
8.05380000000e00,1.00142276092e00,-2.22421507351e-03
8.16580000000e00,1.00141984623e00,-1.74348230939e-03
8.27940000000e00,1.00142531932e00,-2.15115584433e-03
8.39460000000e00,1.00141165826e00,-2.13835644536e-03
8.51140000000e00,1.00142413842e00,-2.07503768615e-03
8.62980000000e00,1.00143661179e00,-2.21445388161e-03
8.74980000000e00,1.00143405463e00,-2.49361176975e-03
8.87160000000e00,1.00143404474e00,-2.68238806166e-03
8.99500000000e00,1.00143446857e00,-2.10941093974e-03
9.12010000000e00,1.00143189497e00,-2.73512373678e-03
9.24700000000e00,1.00143058739e00,-2.67172255553e-03
9.37560000000e00,1.00144326286e00,-2.88476329297e-03
9.50600000000e00,1.00143269651e00,-2.68860487267e-03
9.63830000000e00,1.00143143980e00,-2.94586154632e-03
9.77240000000e00,1.00143454136e00,-2.99013964832e-03
9.90830000000e00,1.00143408412e00,-2.38873204216e-03
1.00462000000e01,1.00144624514e00,-2.44563166052e-03
1.01859000000e01,1.00142548481e00,-2.86904233508e-03
