F,G,P
1.02800000000e00,1.00123888369e00,-1.20447564404e-03
1.04230000000e00,1.00122454466e00,-1.06543232687e-03
1.05680000000e00,1.00121477393e00,2.65785725787e-03
1.07150000000e00,1.00122460561e00,-4.98338020407e-04
1.08640000000e00,1.00122124780e00,7.97656321083e-05
1.10150000000e00,1.00121983027e00,7.60507828090e-04
1.11690000000e00,1.00121726242e00,-1.00424501579e-03
1.13240000000e00,1.00124788376e00,-1.55704724602e-03
1.14820000000e00,1.00121806664e00,-8.75056895893e-04
1.16410000000e00,1.00122973925e00,-1.11596356146e-03
1.18030000000e00,1.00120312575e00,9.99472569674e-04
1.19670000000e00,1.00121374307e00,1.03098340333e-03
1.21340000000e00,1.00125144007e00,-3.79201490432e-04
1.23030000000e00,1.00125192010e00,-2.02187476680e-03
1.24740000000e00,1.00122188648e00,2.38058576360e-03
1.26470000000e00,1.00117753272e00,-8.53466975968e-04
1.28230000000e00,1.00122616149e00,-1.22775975615e-03
1.30020000000e00,1.00123439979e00,-4.45153360488e-04
1.31830000000e00,1.00123722603e00,-3.50149552105e-04
1.33660000000e00,1.00122299182e00,1.20484044601e-04
1.35520000000e00,1.00125108944e00,5.01975126099e-04
1.37400000000e00,1.00122278658e00,1.11029157415e-03
1.39320000000e00,1.00126434850e00,5.72131772060e-04
1.41250000000e00,1.00125424579e00,3.84241342545e-04
1.43220000000e00,1.00125239678e00,7.97721440904e-06
1.45210000000e00,1.00122684310e00,-5.89119081269e-05
1.47230000000e00,1.00123164264e00,1.18036742788e-03
1.49280000000e00,1.00123634416e00,-1.18756934535e-03
1.51360000000e00,1.00124315692e00,-2.66863702564e-04
1.53460000000e00,1.00120853482e00,2.42992362473e-04
1.55600000000e00,1.00124778836e00,3.84715414839e-04
1.57760000000e00,1.00121366094e00,1.07999170723e-04
1.59960000000e00,1.00124902617e00,-1.13121361937e-03
1.62180000000e00,1.00121896196e00,2.84417648800e-04
1.64440000000e00,1.00123021007e00,-4.35852387454e-04
1.66720000000e00,1.00122408249e00,9.43888037000e-04
1.69040000000e00,1.00122695779e00,-1.62669329438e-03
1.71400000000e00,1.00122752201e00,4.75644250400e-04
1.73780000000e00,1.00121233844e00,4.89411177114e-04
1.76200000000e00,1.00121456015e00,-1.35600066278e-03
