F,G,P
5.00000000000e-01,1.31099509266e00,1.41882766724e02
5.01500000000e-01,1.27388139212e00,1.47794387817e02
5.03000000000e-01,1.24705012186e00,1.54010452271e02
5.04500000000e-01,1.26714263013e00,1.48740890503e02
5.06000000000e-01,1.29326704998e00,1.43672775269e02
5.07500000000e-01,1.29766243707e00,1.44206130981e02
5.09100000000e-01,1.27768822863e00,1.45517623901e02
5.10600000000e-01,1.25209846678e00,1.51687332153e02
5.12100000000e-01,1.27819283776e00,1.46397201538e02
5.13700000000e-01,1.31385279863e00,1.41405364990e02
5.15200000000e-01,1.29726282135e00,1.42326736450e02
5.16800000000e-01,1.25119875642e00,1.53125991821e02
5.18300000000e-01,1.26167077837e00,1.49022933960e02
5.19900000000e-01,1.28895351715e00,1.43630859375e02
5.21400000000e-01,1.28913364354e00,1.43800857544e02
5.23000000000e-01,1.28047146849e00,1.45152999878e02
5.24500000000e-01,1.25529470762e00,1.50973434448e02
5.26100000000e-01,1.26974155556e00,1.46132186890e02
5.27700000000e-01,1.30775857674e00,1.41322891235e02
5.29300000000e-01,1.27323217235e00,1.46933624268e02
5.30900000000e-01,1.26325203032e00,1.47865173340e02
5.32500000000e-01,1.27222438800e00,1.47806594849e02
5.34100000000e-01,1.28266094226e00,1.43816604614e02
5.35700000000e-01,1.30989911826e00,1.39267059326e02
5.37300000000e-01,1.28117150794e00,1.44711242676e02
5.38900000000e-01,1.26506014238e00,1.49886825562e02
5.40500000000e-01,1.27144268979e00,1.45758697510e02
5.42100000000e-01,1.29306619580e00,1.41701171875e02
5.43700000000e-01,1.26932368252e00,1.46334747314e02
5.45400000000e-01,1.27097329993e00,1.46599746704e02
5.47000000000e-01,1.26962667076e00,1.47669403076e02
5.48700000000e-01,1.27052726860e00,1.44070083618e02
5.50300000000e-01,1.28003603333e00,1.43392578125e02
5.52000000000e-01,1.29188831383e00,1.43377700806e02
5.53600000000e-01,1.27669572883e00,1.44631256104e02
5.55300000000e-01,1.25924480345e00,1.45673263550e02
5.56900000000e-01,1.27569955184e00,1.45232696533e02
5.58600000000e-01,1.28229781094e00,1.44939804077e02
5.60300000000e-01,1.25894395693e00,1.47364196777e02
5.62000000000e-01,1.25931074598e00,1.47509902954e02
5.63700000000e-01,1.30591613877e00,1.41108245850e02
5.65300000000e-01,1.24685935905e00,1.49678146362e02
5.67000000000e-01,1.27892801534e00,1.43195922852e02
5.68700000000e-01,1.33174636298e00,1.37780502319e02
5.70400000000e-01,1.23301046766e00,1.51434921265e02
5.72200000000e-01,1.31395079455e00,1.39156372070e02
5.73900000000e-01,1.28718695053e00,1.44060943604e02
5.75600000000e-01,1.23627167430e00,1.52138900757e02
5.77300000000e-01,1.26423423311e00,1.46201812744e02
5.79100000000e-01,1.30466000427e00,1.40258102417e02
5.80800000000e-01,1.28911846702e00,1.41520568848e02
5.82500000000e-01,1.23954257590e00,1.53768646240e02
5.84300000000e-01,1.28329677514e00,1.42289916992e02
5.86000000000e-01,1.32516338632e00,1.37497467041e02
5.87800000000e-01,1.23221129109e00,1.55868469238e02
5.89600000000e-01,1.32239675729e00,1.37818908691e02
5.91300000000e-01,1.26762557168e00,1.44813201904e02
5.93100000000e-01,1.24182071062e00,1.50735260010e02
5.94900000000e-01,1.35239244535e00,1.34509368896e02
5.96700000000e-01,1.25897768975e00,1.46173675537e02
5.98500000000e-01,1.25620657447e00,1.47206436157e02
6.00300000000e-01,1.33052304806e00,1.35801101685e02
6.02100000000e-01,1.24766666703e00,1.47554016113e02
6.03900000000e-01,1.31824958337e00,1.37680282593e02
6.05700000000e-01,1.25213068124e00,1.47919509888e02
6.07500000000e-01,1.27062477922e00,1.44251800537e02
6.09300000000e-01,1.31257579002e00,1.37567184448e02
6.11100000000e-01,1.24159582721e00,1.49213775635e02
6.13000000000e-01,1.33510487804e00,1.35407806396e02
6.14800000000e-01,1.24181494372e00,1.50023056030e02
6.16700000000e-01,1.28861895053e00,1.41727783203e02
6.18500000000e-01,1.28618990698e00,1.39886505127e02
6.20400000000e-01,1.24675029422e00,1.50290985107e02
6.22200000000e-01,1.30942933845e00,1.38177642822e02
6.24100000000e-01,1.25530405918e00,1.46285873413e02
6.26000000000e-01,1.25364240332e00,1.45966003418e02
6.27800000000e-01,1.29287161385e00,1.40253250122e02
6.29700000000e-01,1.26062023246e00,1.46538314819e02
6.31600000000e-01,1.28046476833e00,1.41084899902e02
6.33500000000e-01,1.26901562493e00,1.42716964722e02
6.35400000000e-01,1.27627424095e00,1.42192474365e02
6.37300000000e-01,1.26305821395e00,1.43330154419e02
6.39200000000e-01,1.27436854376e00,1.43109695435e02
6.41100000000e-01,1.27288840887e00,1.43362930298e02
6.43100000000e-01,1.25463473191e00,1.45204162598e02
6.45000000000e-01,1.30165759336e00,1.38620147705e02
6.46900000000e-01,1.28438047954e00,1.39570373535e02
6.48900000000e-01,1.25224707830e00,1.46131027222e02
6.50800000000e-01,1.30353069991e00,1.39114929199e02
6.52800000000e-01,1.22711212306e00,1.48475891113e02
6.54700000000e-01,1.35432054085e00,1.33676818848e02
6.56700000000e-01,1.22374070489e00,1.49156341553e02
6.58700000000e-01,1.33924035825e00,1.35034286499e02
6.60600000000e-01,1.25101834888e00,1.43296966553e02
6.62600000000e-01,1.31120241320e00,1.36538772583e02
6.64600000000e-01,1.27268195390e00,1.42635040283e02
6.66600000000e-01,1.25586810427e00,1.43812606812e02
6.68600000000e-01,1.31059475341e00,1.37473251343e02
6.70600000000e-01,1.23210084952e00,1.46034683228e02
6.72600000000e-01,1.35823927483e00,1.32515274048e02
6.74600000000e-01,1.21899953071e00,1.53246139526e02
6.76700000000e-01,1.35860375042e00,1.32508728027e02
6.78700000000e-01,1.22447978801e00,1.53913787842e02
6.80700000000e-01,1.31602019590e00,1.34656814575e02
6.82800000000e-01,1.24552862945e00,1.47426269531e02
